id,name,,address,address2,state_id,postcode,city,tel,fax,website,email,image,latitude,longitude,likes,rating,status
14,Klinik 1 Malaysia Bercham, Bercham,"No.6A-1 & 10, Persiaran Medan Bercham 7, Pusat Bandar Bercham Timur, Ipoh Perak","Melaka Tengah, Melaka",7,31400,Ipoh,05-3600039,05-3600039,,,,0,0,0,0,NEW
15,Klinik 1 Malaysia Binjai, Binjai,"1190, Mukim Binjai, Kemaman","Marang, Terengganu",13,24000,Kemaman,09-8586081,,,,,0,0,0,0,NEW
16,Klinik 1 Malaysia Bukit Beruntung, Bukit Beruntung,"C-G-01, Apartment Kenanga, Taman Bunga Raya, Bukit Beruntung, Hulu Selangor","Hulu Selangor, Selangor",10,48000,Bukit Beruntung,03-6021283,,,,,0,0,0,0,NEW
17,Klinik 1 Malaysia Bukit Katil, Bukit Katil,"No.17 Jalan IKS, Bukit Katil","Penampang, Sabah",4,75450,Melaka,06-2311278,,,,,0,0,0,0,NEW
18,Klinik 1 Malaysia Bukit Payong, Bukit Payong,"8216, Tingkat Bawah, Bangunan Kedai Permit , Bukit Payong, Marang","Kuala Selangor, Selangor",13,21400,Marang,09-6192193,,,,,0,0,0,0,NEW
19,Klinik 1 Malaysia Bukit Sentosa, Bukit Sentosa,"No.13 Jalan Seroja 1B, Bukit Sentosa. 48000 Hulu Selangor","WP Kuala Lumpur, Kuala Lumpur",10,48000,Hulu Selangor,03-6021146,,,,,0,0,0,0,NEW
20,Klinik 1 Malaysia Bundusan Square, Bundusan Square,"Lot 67, Tingkat bawah, Blok H, Bundusan Square, Penampang","WP Kuala Lumpur, Kuala Lumpur",12,88300,Penampang,08-731225/226,08-731255,,,,0,0,0,0,NEW
21,Klinik 1 Malaysia Cakerapurnama, Cakerapurnama,"No.105, Jalan Cakerapurnama, 12/2 Seksyen 12, Bandar Baru Puncak Alam, 45010 Kuala Selangor","Sibu, Sarawak",10,45010,Kuala Selangor,03-3393311,03-32895044(pkd),,,,0,0,0,0,NEW
22,Klinik 1 Malaysia Desa Rejang, Desa Rejang,"Blok B-0-1, PPR Desa Rejang, Setapak","Bachok, Kelantan",14,52100,Kuala Lumpur,03-4142989,03-41429891,,,,0,0,0,0,NEW
23,Klinik 1 Malaysia Kg Padang Jaya, Kg Padang Jaya,"Tingkat Bawah, B-32 Jalan Sungai Lembing, Kg Padang","Timur Laut, Pulau Pinang",6,25200,Kuantan,09-5735542,09-5679029,,,,0,0,0,0,NEW
24,Klinik 1 Malaysia Kota Bharu, Kota Bharu,"Lot 348 (Bawah), Jalan Sri Cemerlang, Kota Bharu","Kangar, Perlis",3,15350,Kota Bharu,09-7414834,,,,,0,0,0,0,NEW
25,Klinik 1 Malaysia Bandar seri Iskandar, Bandar seri Iskandar,"N0.32 Blod D, Bangunan Rumah Kedai, Bandar Seri Isandar","Kuantan, Pahang",7,32600,Bandar Seri Iskandar,05-3714260,05-3714260,,,,0,0,0,0,NEW
26,Klinik 1 Malaysia Intan Baiduri, Intan Baiduri,"B-0-5, Blok B, Kepong Utara, Mukim Batu ,Kepong","Kota Bharu, Kelantan",14,52100,Kuala Lumpur,3612037991,03-61203799,,,,0,0,0,0,NEW
27,Klinik 1 Malaysia Jalan Teku, Jalan Teku,"Lot 302, Blok 7 Teku Road, Sibu","Kulim, Kedah",11,96000,Sibu,08-3154943,,,,,0,0,0,0,NEW
28,Klinik 1 Malaysia Jelawat, Jelawat,"Lot34, Bandar Jelawat Bachok","Petaling Jaya, Selangor",3,16070,Bachok,09-7787010,97787012,,,,0,0,0,0,NEW
29,Klinik 1 Malaysia Jelutong, Jelutong,"116, Tingkat Bawah, Jalan Jelutong","Kuching, Sarawak",9,11500,Georgetown,04-2834070,04-2819500,,,,0,0,0,0,NEW
30,Klinik 1 Malaysia Kangar, Kangar,"No.6 Tingkat Bawah, Jalan Lintasan Kangar, Taman Pertiwi, Kangar","Pasir Mas, Kelantan",8,1000,Kangar,04-9762634,49762621,,,,0,0,0,0,NEW
31,Klinik 1 Malaysia Kg Padang Jaya, Kg Padang Jaya,"Tingkat Bawah, B-32 Jalan Sungai Lembing, Kg Padang","WP Kuala Lumpur, Kuala Lumpur",6,25200,Kuantan,09-5735542,09-5679029,,,,0,0,0,0,NEW
32,Klinik 1 Malaysia Kota Bharu, Kota Bharu,"Lot 348 (Bawah), Jalan Sri Cemerlang, Kota Bharu","Petaling Jaya, Selangor",3,15350,Kota Bharu,09-7414834,,,,,0,0,0,0,NEW
33,Klinik 1 Malaysia Kota Kenari, Kota Kenari,"No.208, Rumah Kedai, Jalan Kota Kenari3,Kota Kenari, Kulim","Seremban, Negeri Sembilan",2,9000,Kulim,04-4945345,,,,,0,0,0,0,NEW
34,Klinik 1 Malaysia Lembah Subang, Lembah Subang,"No.112 &113, Blok A Jalan PJU 1A/42, Taman Putra Damai, Lembah Subang Petaling Jaya","Alor Gajah, Melaka",10,47301,Kelana Jaya,03-7803553,,,,,0,0,0,0,NEW
35,Klinik 1 Malaysia Matang Jaya, Matang Jaya,"Lot 9746, Seksyen 65 KTLD, Taman Lee Ling, Jalan Matang, Kuching","Johor Bahru, Johor",11,93050,Kuching,08-6496447,02-6496449,,,,0,0,0,0,NEW
36,Klinik 1 Malaysia Pengkalan Batu, Pengkalan Batu,"Lot 633B, Kg. Pengkalan Batu, Jalan Pasir Pekan, Pasir Mas","Kota Kinabalu, Sabah",3,17000,Pasir Mas,09-7922211,,,,,0,0,0,0,NEW
37,Klinik 1 Malaysia Perkasa, Perkasa,"B-0-1, Blok B, PPR Perkasa, Jalan Nakhoda Yusof, Kampung Pandan","Barat Daya, Pulau Pinang",14,55100,Kuala Lumpur,03-9205524,03-9205524,,,,0,0,0,0,NEW
38,Klinik 1 Malaysia PJS 6, PJS 6,"No.2A, Jalan 6A, Kg  Lindungan 46000 Petaling Jaya","Bintulu, Sarawak",10,46000,Petaling Jaya,03-7781900,03-7781910,,,,0,0,0,0,NEW
39,Klinik 1 Malaysia Seremban Jaya, Seremban Jaya,"No.2294, Jalan SJ 10/1 , Taman Seremban Jaya, Seremban","Gombak, Selangor",5,70450,Seremban,06-6771710,06-6771710,,,,0,0,0,0,NEW
40,Klinik 1 Malaysia Seri Pengkalan, Seri Pengkalan,"KM 4615, Jalan Samarinda 2, Taman Samarinda, Pengkalan, Alor Gajah","Kuantan, Pahang",4,78000,Alor Gajah,06-5560184,,,,,0,0,0,0,NEW
41,Klinik 1 Malaysia Sri Stulang, Sri Stulang,"Tingkat Bawah, Blok G, Rumah Pangsa Sri Stulang 1, Bakar Batu Permas  Jaya, Johor Bahru","Kualaijaya, Johor",1,81250,Johor Bahru,07-2166001,,,,,0,0,0,0,NEW
42,Klinik 1 Malaysia Kg Padang Jaya, Kg Padang Jaya,"Tingkat Bawah, B-32 Jalan Sungai Lembing, Kg Padang","Johor Bahru, Johor",6,25200,Kuantan,09-5735542,09-5679029,,,,0,0,0,0,NEW
43,Klinik 1 Malaysia Sulaman Sentral, Sulaman Sentral,"Lot 37, Tingkat Bawah Blok E, Fasa 2, Sulaiman Sentral, Kota Kinabalu","WP Kuala Lumpur, Kuala Lumpur",12,88450,Kota Kinabalu,08-4731128/127,08-4731297,,,,0,0,0,0,NEW
44,Klinik 1 Malaysia Sungai Ara, Sungai Ara,"2A-1, Tingkat Kenari 5, Taman Desa Ria, Sungai Ara, Bayan Lepas, Barat Daya","Muar, Johor",9,11900,Bayan Lepas,04-6463531,,,,,0,0,0,0,NEW
45,Klinik 1 Malaysia Sungai Plan, Sungai Plan,"S/L 517, Sungai Plan Tanjung Kidurong, Bintulu","Seremban, Negeri Sembilan",11,97000,Bintulu,08-2544818,08-2544819,,,,0,0,0,0,NEW
46,Klinik 1 Malaysia Taman Gombak Permai, Taman Gombak Permai,"No 1G, Jalan GP 2A, Taman Gombak Permai, 68100 Batu Cave","Seremban, Negeri Sembilan",10,68100,Batu Cave,03-6185616,,,,,0,0,0,0,NEW
47,Klinik 1 Malaysia Taman Kempadang Makmur, Taman Kempadang Makmur,"Taman Kempadang Makmur, Kempadang","Kluang, Johor",6,26060,Kuantan,09-5513831,09-5679092,,,,0,0,0,0,NEW
48,Klinik 1 Malaysia Taman Manis, Taman Manis,"No. 5, Jalan Manis 17, Taman Manis Kelapa Sawit, Kulai Jaya","Miri, Sarawak",1,81030,Kulai,07-6525001,,,,,0,0,0,0,NEW
49,Klinik 1 Malaysia Taman Megah Ria, Taman Megah Ria,"No. 15 & 15A, Jalan Bayan 37/2, Taman Megah Ria, Masai Johor","Seberang Perai Utara, Pulau Pinang",1,81750,Johor Bahru,07-3866101,,,,,0,0,0,0,NEW
50,Klinik 1 Malaysia Taman Melati, Taman Melati,"Dewan Serbaguna, Pusat Konuniti Gombak, Taman Melati","Hilir Perak, Perak",14,53100,Kuala Lumpur,03-6185427,03-61854278,,,klinik1m_tamanmelati.jpg,0,0,0,0,NEW
51,Klinik 1 Malaysia Taman Pagoh Jaya, Taman Pagoh Jaya,"No.5, Jalan Jaya 1/3, Taman Pagoh Jaya, Pahoh, Muar","Temerloh, Pahang",1,84600,Muar,06-9737001,,,,,0,0,0,0,NEW
52,Klinik 1 Malaysia Taman Rasah Jaya, Taman Rasah Jaya,"No.3779, Jalan Rasah Jaya 6-11, Taman Rasah Jaya, Seremban","Kuala Terengganu, Terengganu",5,70300,Seremban,06-6310699,,,,,0,0,0,0,NEW
53,Klinik 1 Malaysia Taman Semarak 2, Taman Semarak 2,"No. 5742, Jalan TS 2/1E, Taman Semarak 2, Nilai","WP Kuala Lumpur, Kuala Lumpur",5,71800,Nilai,06-7977751,,,,,0,0,0,0,NEW
54,Klinik 1 Malaysia Taman Seri Lambak, Taman Seri Lambak,"Balai Aktiviti JKKMB, Taman Seri Lambak, Kluang Johor",,1,86000,Kluang,778977010,,,,,0,0,0,0,NEW
55,Klinik 1 Malaysia Taman Tunku, Taman Tunku,"Lot 9261 (2350 Heibour Hood) Shopping Centre Taman Tunku, Miri",,11,97000,Miri,08-611546,,,,,0,0,0,0,NEW
56,Klinik 1 Malaysia Teluk Air Tawar, Teluk Air Tawar,"No.6, Lorong Teluk Air Tawar 14, Taman Air Tawar Indah, Teluk Air Tawar, Butterworth",,9,13050,Butterworth,04-3511080,,,,,0,0,0,0,NEW
57,Klinik 1 Malaysia Teluk Intan, Teluk Intan,"No.1 Taman Medan Maharaja, Jalan Kampung Banjar, Teluk Intan",,7,36000,Teluk Intan,05-6224110,05-6212401,,,,0,0,0,0,NEW
58,Klinik 1 Malaysia Temerloh, Temerloh,"N0.12 Tingkat Bawah, Jalan Pak Sako 4, Bandar Seri Semantan, Temeloh",,6,28000,Temerloh,09-2969630,09-2969630,,,,0,0,0,0,NEW
59,Klinik 1 Malaysia Wakaf Baru, Wakaf Baru,"Lot PT30712, Wakaf Baru, Mukim Kuala Nerus, Kuala Terengganu",,13,21300,Kuala Terengganu,09-6667861,,,,,0,0,0,0,NEW
60,Klinik 1Malaysia Kerinchi,Kerinchi,"B-0-1, Blok B Kuarters DBKL, Jalan Pantai Permai 1",,14,59200,Kuala Lumpur,03-2240940,03-2240940,,,,0,0,0,0,NEW
